06489J91J00X 3 1991 04 15.34878 13 53 43.44 -12 49 04.9          18.5   24979675
06489J91J00X 3 1991 04 15.38229 13 53 42.80 -12 48 51.4                 24979675
06489J91J00X  A1991 05 09.27083 13 52 10.49 -08 10 04.3          16.0   18342675
06489J91J00X  A1991 05 09.29288 13 52 10.36 -08 09 38.4                 18342675
06489J91J00X* A1991 05 10.32847 13 52 23.04 -07 49 05.3          16.0   18342675
06489J91J00X  A1991 05 10.35260 13 52 23.08 -07 48 35.1                 18342675
06489J91J00X  A1991 05 12.30990 13 52 59.87 -07 06 47.6                 18342675
06489J91J00X  A1991 05 12.33472 13 53 00.08 -07 06 11.5                 18342675
06489J91J00X  A1991 05 16.10659 13 55 02.63 -05 32 34.4                 18355801
06489J91J00X  A1991 05 16.13064 13 55 03.20 -05 31 54.7                 18355801
06489J91J00X  A1991 05 16.36711 13 55 13.46 -05 24 59.9          16.0 V 18335568
06489J91J00X  A1991 05 16.39444 13 55 17.26 -05 23 19.8                 18334413
06489J91J00X  A1991 05 17.35705 13 56 01.15 -04 56 35.5          15.8 V 18335568
06489J91J00X  A1991 05 18.36753 13 56 57.05 -04 25 44.0          15.7 V 18335568
06489J91J00X  A1991 05 18.52002 13 57 06.18 -04 19 55.6                 18334413
06489J91J00X  A1991 05 26.23591 14 10 43.95 +01 07 11.0                 18348688
06489J91J00X  A1991 05 26.28039 14 10 50.00 +01 09 44.2                 18348688
06489J91J00X  A1991 05 30.38472 14 26 14.99 +06 04 22.3                 18335568
06489J91J00X  A1991 05 30.52550 14 26 55.90 +06 19 02.6                 18335474
06489J91J00X  A1991 05 30.53071 14 26 57.30 +06 19 29.6                 18335474
06489J91J00X  A1991 05 31.15373 14 30 21.09 +07 15 19.9                 18348688
06489J91J00X  A1991 05 31.15709 14 30 22.10 +07 15 40.3                 18348688
06489J91J00X  A1991 05 31.36387 14 31 34.58 +07 38 20.8                 18334413
06489J91J00X  A1991 05 31.39657 14 31 44.73 +07 41 38.9                 18334413
06489J91J00X  A1991 06 01.37480 14 37 46.14 +09 26 20.1                 18335474
06489J91J00X  A1991 06 01.38244 14 37 48.72 +09 27 12.8                 18335474
06489J91J00X  A1991 06 01.40243 14 37 59.17 +09 29 04.4                 18334413
06489J91J00X  A1991 06 01.42862 14 38 05.49 +09 32 28.5                 18335474
06489J91J00X  A1991 06 01.57049 14 38 59.46 +09 48 23.9                 18334413
06489J91J00X  A1991 06 02.33438 14 44 43.48 +11 21 52.3                 18335474
06489J91J00X  A1991 06 02.33889 14 44 45.45 +11 22 26.3                 18335474
06489J91J00X  A1991 06 02.52778 14 46 06.87 +11 46 58.1                 18335474
06489J91J00X  A1991 06 02.53299 14 46 09.24 +11 47 39.6                 18335474
06489J91J00X  A1991 06 03.05917 14 50 42.17 +12 55 46.1                 18355801
06489J91J00X  A1991 06 03.06070 14 50 42.89 +12 55 58.9                 18355801
06489J91J00X  A1991 06 03.06537 14 50 45.15 +12 56 38.6                 18356801
06489J91J00X  A1991 06 03.06625 14 50 45.59 +12 56 46.1                 18356801
06489J91J00X  A1991 06 03.41962 14 54 00.87 +13 50 49.2                 18334413
06489J91J00X  A1991 06 03.42101 14 54 01.60 +13 51 02.5                 18334413
06489J91J00X  A1991 06 03.98229 14 59 26.47 +15 13 31.1                 18394984
06489J91J00X  A1991 06 04.18279 15 01 39.07 +15 46 27.9                 18348688
06489J91J00X  A1991 06 04.18796 15 01 42.11 +15 47 18.9                 18348688
06489J91J00X  A1991 06 05.43183 15 16 36.04 +19 27 02.5                 18336657
06489J91J00X  A1991 06 05.43470 15 16 38.30 +19 27 35.0                 18336657
06489J91J00X  A1991 06 05.90050 15 23 24.18 +20 59 57.5                 18502046
